id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address
24,6673,19,Ajka,3,2,3,183,29106,kiss jános utca,3,0,"kiss jános utca 3, Ajka"
25,6673,19,Ajka,3,2,3,183,29106,kossuth utca,14,2,"kossuth utca 14, Ajka"
26,6673,19,Ajka,3,2,3,183,29106,kosztolányi utca,13,1,"kosztolányi utca 13, Ajka"
27,6673,19,Ajka,3,2,3,183,29106,rákóczi ferenc utca,4,2,"rákóczi ferenc utca 4, Ajka"
28,6673,19,Ajka,3,2,3,183,29106,rákóczi ferenc utca,4,2,"rákóczi ferenc utca 4, Ajka"
29,6673,19,Ajka,3,2,3,183,29106,sport utca,12,1,"sport utca 12, Ajka"
31,31653,13,Albertirsa,3,2,3,124,12016,madách utca,44,0,"madách utca 44, Albertirsa"
32,31653,13,Albertirsa,3,2,3,124,12016,pesti út,126/8,2,"pesti út 126/8, Albertirsa"
33,31653,13,Albertirsa,3,2,3,124,12016,rákóczi utca,37,2,"rákóczi utca 37, Albertirsa"
34,31653,13,Albertirsa,3,2,3,124,12016,temesvári utca,54,0,"temesvári utca 54, Albertirsa"
35,23199,13,Alsónémedi,4,3,5,129,5144,akácfa utca,36,0,"akácfa utca 36, Alsónémedi"
36,23199,13,Alsónémedi,4,3,5,129,5144,árpád utca,1,0,"árpád utca 1, Alsónémedi"
37,23199,13,Alsónémedi,4,3,5,129,5144,árpád utca,53,1,"árpád utca 53, Alsónémedi"
41,23199,13,Alsónémedi,4,3,5,129,5144,haraszti út,126/II,0,"haraszti út 126/II, Alsónémedi"
42,23199,13,Alsónémedi,4,3,5,129,5144,hős utca,2,1,"hős utca 2, Alsónémedi"
43,23199,13,Alsónémedi,4,3,5,129,5144,kinizsi utca,5,1,"kinizsi utca 5, Alsónémedi"
46,23199,13,Alsónémedi,4,3,5,129,5144,nefelejcs utca,5,0,"nefelejcs utca 5, Alsónémedi"
47,23199,13,Alsónémedi,4,3,5,129,5144,öreg-tó utca,21,2,"öreg-tó utca 21, Alsónémedi"
48,23199,13,Alsónémedi,4,3,5,129,5144,róna utca,10,2,"róna utca 10, Alsónémedi"
49,21032,5,Alsózsolca,3,2,3,61,5766,ady endre út,5,2,"ady endre út 5, Alsózsolca"
52,21032,5,Alsózsolca,3,2,3,61,5766,árpád út,16,2,"árpád út 16, Alsózsolca"
53,21032,5,Alsózsolca,3,2,3,61,5766,bajcsy-zsilinszky út,27,0,"bajcsy-zsilinszky út 27, Alsózsolca"
54,21032,5,Alsózsolca,3,2,3,61,5766,bartók béla út,15,0,"bartók béla út 15, Alsózsolca"
55,21032,5,Alsózsolca,3,2,3,61,5766,bartók béla út,21,0,"bartók béla út 21, Alsózsolca"
56,21032,5,Alsózsolca,3,2,3,61,5766,deák ferenc út,4,0,"deák ferenc út 4, Alsózsolca"
57,21032,5,Alsózsolca,3,2,3,61,5766,deák ferenc út,6,1,"deák ferenc út 6, Alsózsolca"
58,21032,5,Alsózsolca,3,2,3,61,5766,gagarin út,25,2,"gagarin út 25, Alsózsolca"
59,21032,5,Alsózsolca,3,2,3,61,5766,gárdonyi út,9,2,"gárdonyi út 9, Alsózsolca"
60,21032,5,Alsózsolca,3,2,3,61,5766,johanna út,25,2,"johanna út 25, Alsózsolca"
61,21032,5,Alsózsolca,3,2,3,61,5766,józsef attila út,7,2,"józsef attila út 7, Alsózsolca"
62,21032,5,Alsózsolca,3,2,3,61,5766,klapka györgy út,4,2,"klapka györgy út 4, Alsózsolca"
63,22327,19,Badacsonytomaj,3,2,3,189,2135,füge köz,7,1,"füge köz 7, Badacsonytomaj"
64,22327,19,Badacsonytomaj,3,2,3,189,2135,füredi út,61,1,"füredi út 61, Badacsonytomaj"
65,22327,19,Badacsonytomaj,3,2,3,189,2135,hársfa utca,18,1,"hársfa utca 18, Badacsonytomaj"
66,22327,19,Badacsonytomaj,3,2,3,189,2135,hősök tere,5,2,"hősök tere 5, Badacsonytomaj"
67,22327,19,Badacsonytomaj,3,2,3,189,2135,hősök tere,6,1,"hősök tere 6, Badacsonytomaj"
68,22327,19,Badacsonytomaj,3,2,3,189,2135,józsef attila utca,14,1,"józsef attila utca 14, Badacsonytomaj"
71,22327,19,Badacsonytomaj,3,2,3,189,2135,káptalantóti út,46,0,"káptalantóti út 46, Badacsonytomaj"
72,22327,19,Badacsonytomaj,3,2,3,189,2135,kert utca,22.febr,1,"kert utca 22.febr, Badacsonytomaj"
73,22327,19,Badacsonytomaj,3,2,3,189,2135,kodály zoltán utca,37,1,"kodály zoltán utca 37, Badacsonytomaj"
74,22327,19,Badacsonytomaj,3,2,3,189,2135,nyárfa utca,1,1,"nyárfa utca 1, Badacsonytomaj"
75,22327,19,Badacsonytomaj,3,2,3,189,2135,petőfi utca,21,1,"petőfi utca 21, Badacsonytomaj"
76,22327,19,Badacsonytomaj,3,2,3,189,2135,petőfi utca,75,2,"petőfi utca 75, Badacsonytomaj"
77,20011,9,Bagamér,4,3,6,101,2476,árpád utca,4,2,"árpád utca 4, Bagamér"
78,20011,9,Bagamér,4,3,6,101,2476,báthori utca,60,1,"báthori utca 60, Bagamér"
79,20011,9,Bagamér,4,3,6,101,2476,bocskai utca,52,2,"bocskai utca 52, Bagamér"
80,20011,9,Bagamér,4,3,6,101,2476,csák utca,15,1,"csák utca 15, Bagamér"
81,20011,9,Bagamér,4,3,6,101,2476,csokonai utca,12,1,"csokonai utca 12, Bagamér"
83,20011,9,Bagamér,4,3,6,101,2476,deák ferenc utca,16,1,"deák ferenc utca 16, Bagamér"
84,20011,9,Bagamér,4,3,6,101,2476,hunyadi utca,42,2,"hunyadi utca 42, Bagamér"
85,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,6,2,"kinizsi utca 6, Bagamér"
86,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,49,1,"kinizsi utca 49, Bagamér"
87,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,50,0,"kinizsi utca 50, Bagamér"
88,20011,9,Bagamér,4,3,6,101,2476,kinizsi utca,51,0,"kinizsi utca 51, Bagamér"
90,20011,9,Bagamér,4,3,6,101,2476,nagybercsényi utca,31,2,"nagybercsényi utca 31, Bagamér"
91,3522,3,Baja,3,2,3,35,36267,csendes utca,17,0,"csendes utca 17, Baja"
92,3522,3,Baja,3,2,3,35,36267,duna utca,12,2,"duna utca 12, Baja"
93,3522,3,Baja,3,2,3,35,36267,hentes utca,4,1,"hentes utca 4, Baja"
94,3522,3,Baja,3,2,3,35,36267,ii.körzet tanya,163/A,2,"ii.körzet tanya 163/A, Baja"
95,3522,3,Baja,3,2,3,35,36267,józsef attila utca,21,0,"józsef attila utca 21, Baja"
96,3522,3,Baja,3,2,3,35,36267,keszeg utca,18,1,"keszeg utca 18, Baja"
97,3522,3,Baja,3,2,3,35,36267,kölcsey ferenc utca,112,0,"kölcsey ferenc utca 112, Baja"
98,3522,3,Baja,3,2,3,35,36267,köztársaság tér,7,2,"köztársaság tér 7, Baja"
101,3522,3,Baja,3,2,3,35,36267,táncsics mihály utca,38,1,"táncsics mihály utca 38, Baja"
102,3522,3,Baja,3,2,3,35,36267,v.körzet tanya,000050/7,2,"v.körzet tanya 000050/7, Baja"
103,5944,8,Bakonyszentlászló,4,3,7,90,1825,ady endre utca,01.okt,0,"ady endre utca 01.okt, Bakonyszentlászló"
104,5944,8,Bakonyszentlászló,4,3,7,90,1825,ady endre utca,22,1,"ady endre utca 22, Bakonyszentlászló"
105,5944,8,Bakonyszentlászló,4,3,7,90,1825,béke utca,9/B,1,"béke utca 9/B, Bakonyszentlászló"
106,5944,8,Bakonyszentlászló,4,3,7,90,1825,béke utca,18,0,"béke utca 18, Bakonyszentlászló"
107,5944,8,Bakonyszentlászló,4,3,7,90,1825,dózsa györgy utca,31,0,"dózsa györgy utca 31, Bakonyszentlászló"
108,5944,8,Bakonyszentlászló,4,3,7,90,1825,fenyves utca,18,0,"fenyves utca 18, Bakonyszentlászló"
109,5944,8,Bakonyszentlászló,4,3,7,90,1825,fenyves utca,39,1,"fenyves utca 39, Bakonyszentlászló"
110,5944,8,Bakonyszentlászló,4,3,7,90,1825,jókai utca,18,1,"jókai utca 18, Bakonyszentlászló"
111,5944,8,Bakonyszentlászló,4,3,7,90,1825,kossuth utca,02.febr,0,"kossuth utca 02.febr, Bakonyszentlászló"
112,5944,8,Bakonyszentlászló,4,3,7,90,1825,lászló király utca,86,1,"lászló király utca 86, Bakonyszentlászló"
113,5944,8,Bakonyszentlászló,4,3,7,90,1825,lászló király utca,109,0,"lászló király utca 109, Bakonyszentlászló"
116,5944,8,Bakonyszentlászló,4,3,7,90,1825,rózsa utca,30,0,"rózsa utca 30, Bakonyszentlászló"
118,13657,12,Balassagyarmat,3,2,3,116,16397,felsőmalom utca,24,2,"felsőmalom utca 24, Balassagyarmat"
119,13657,12,Balassagyarmat,3,2,3,116,16397,rákóczi fejedelem út,35,2,"rákóczi fejedelem út 35, Balassagyarmat"
120,13657,12,Balassagyarmat,3,2,3,116,16397,szondi utca,6,1,"szondi utca 6, Balassagyarmat"
122,13657,12,Balassagyarmat,3,2,3,116,16397,zichy utca,13,1,"zichy utca 13, Balassagyarmat"
123,21175,19,Balatonfüred,3,2,3,185,12979,balassi bálint utca,35,1,"balassi bálint utca 35, Balatonfüred"
124,21175,19,Balatonfüred,3,2,3,185,12979,köztársaság utca,10,2,"köztársaság utca 10, Balatonfüred"
127,21175,19,Balatonfüred,3,2,3,185,12979,pálóczi horváth ádám utca,30/A,1,"pálóczi horváth ádám utca 30/A, Balatonfüred"
128,33862,14,Balatonlelle,3,2,3,142,5217,aradi utca,14,0,"aradi utca 14, Balatonlelle"
129,33862,14,Balatonlelle,3,2,3,142,5217,aradi utca,29,2,"aradi utca 29, Balatonlelle"
130,33862,14,Balatonlelle,3,2,3,142,5217,arany jános utca,47,2,"arany jános utca 47, Balatonlelle"
133,33862,14,Balatonlelle,3,2,3,142,5217,jókai utca,12,0,"jókai utca 12, Balatonlelle"
134,33862,14,Balatonlelle,3,2,3,142,5217,kossuth lajos utca,8,1,"kossuth lajos utca 8, Balatonlelle"
135,33862,14,Balatonlelle,3,2,3,142,5217,május 1. utca,30,2,"május 1. utca 30, Balatonlelle"
136,33862,14,Balatonlelle,3,2,3,142,5217,május 1. utca,35,0,"május 1. utca 35, Balatonlelle"
137,33862,14,Balatonlelle,3,2,3,142,5217,petőfi utca,48,1,"petőfi utca 48, Balatonlelle"
138,33862,14,Balatonlelle,3,2,3,142,5217,rákóczi út,aug.54,1,"rákóczi út aug.54, Balatonlelle"
140,33862,14,Balatonlelle,3,2,3,142,5217,szt.lászló utca,27,1,"szt.lászló utca 27, Balatonlelle"
141,33862,14,Balatonlelle,3,2,3,142,5217,tabán köz,34,0,"tabán köz 34, Balatonlelle"
142,16601,14,Balatonszabadi,4,3,6,146,2971,ady endre utca,8,0,"ady endre utca 8, Balatonszabadi"
143,16601,14,Balatonszabadi,4,3,6,146,2971,ady endre utca,12,1,"ady endre utca 12, Balatonszabadi"
144,16601,14,Balatonszabadi,4,3,6,146,2971,gamásza puszta,3,0,"gamásza puszta 3, Balatonszabadi"
145,16601,14,Balatonszabadi,4,3,6,146,2971,kinizsi pál utca,20,0,"kinizsi pál utca 20, Balatonszabadi"
147,16601,14,Balatonszabadi,4,3,6,146,2971,kossuth lajos utca,103,0,"kossuth lajos utca 103, Balatonszabadi"
148,16601,14,Balatonszabadi,4,3,6,146,2971,kossuth lajos utca,129,1,"kossuth lajos utca 129, Balatonszabadi"
149,16601,14,Balatonszabadi,4,3,6,146,2971,mátyás király utca,10,1,"mátyás király utca 10, Balatonszabadi"
150,16601,14,Balatonszabadi,4,3,6,146,2971,nefelejcs utca,9,0,"nefelejcs utca 9, Balatonszabadi"
151,16601,14,Balatonszabadi,4,3,6,146,2971,petőfi sándor utca,2/B,1,"petőfi sándor utca 2/B, Balatonszabadi"
152,16601,14,Balatonszabadi,4,3,6,146,2971,rákóczi ferenc utca,9/A,0,"rákóczi ferenc utca 9/A, Balatonszabadi"
153,16601,14,Balatonszabadi,4,3,6,146,2971,szabadság utca,33/F,1,"szabadság utca 33/F, Balatonszabadi"
155,16601,14,Balatonszabadi,4,3,6,146,2971,vak bottyán utca,1,1,"vak bottyán utca 1, Balatonszabadi"
156,2918,9,Balmazújváros,3,2,3,93,17573,batthyány utca,116,0,"batthyány utca 116, Balmazújváros"
157,2918,9,Balmazújváros,3,2,3,93,17573,esze tamás utca,19,1,"esze tamás utca 19, Balmazújváros"
158,2918,9,Balmazújváros,3,2,3,93,17573,kastélykert utca,10,1,"kastélykert utca 10, Balmazújváros"
159,2918,9,Balmazújváros,3,2,3,93,17573,kiskút utca,24,1,"kiskút utca 24, Balmazújváros"
161,32799,14,Barcs,3,2,3,140,11420,ady endre utca,15,2,"ady endre utca 15, Barcs"
162,32799,14,Barcs,3,2,3,140,11420,barátság utca,28,0,"barátság utca 28, Barcs"
163,32799,14,Barcs,3,2,3,140,11420,barátság utca,48,1,"barátság utca 48, Barcs"
164,32799,14,Barcs,3,2,3,140,11420,béke utca,48,0,"béke utca 48, Barcs"
165,33534,12,Bátonyterenye,3,2,3,117,12841,attila út,14,1,"attila út 14, Bátonyterenye"
166,33534,12,Bátonyterenye,3,2,3,117,12841,bányász út,13,0,"bányász út 13, Bátonyterenye"
167,33534,12,Bátonyterenye,3,2,3,117,12841,csokonai út,34,2,"csokonai út 34, Bátonyterenye"
168,33534,12,Bátonyterenye,3,2,3,117,12841,jókai út,10,0,"jókai út 10, Bátonyterenye"
169,33534,12,Bátonyterenye,3,2,3,117,12841,várhegy út,29,2,"várhegy út 29, Bátonyterenye"
170,18698,20,Bázakerettye,4,3,8,195,842,béke út,5,2,"béke út 5, Bázakerettye"
171,18698,20,Bázakerettye,4,3,8,195,842,béke út,7,0,"béke út 7, Bázakerettye"
172,18698,20,Bázakerettye,4,3,8,195,842,dózsa györgy út,23,1,"dózsa györgy út 23, Bázakerettye"
173,18698,20,Bázakerettye,4,3,8,195,842,fő út,18,2,"fő út 18, Bázakerettye"
174,18698,20,Bázakerettye,4,3,8,195,842,fő út,60,1,"fő út 60, Bázakerettye"
179,18698,20,Bázakerettye,4,3,8,195,842,olajmunkás köz,4,2,"olajmunkás köz 4, Bázakerettye"
180,18698,20,Bázakerettye,4,3,8,195,842,olajmunkás köz,9,2,"olajmunkás köz 9, Bázakerettye"
181,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,11,2,"rákóczi út 11, Bázakerettye"
182,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,14,2,"rákóczi út 14, Bázakerettye"
183,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,15,2,"rákóczi út 15, Bázakerettye"
184,9760,4,Békés,3,2,3,45,20088,ady endre utca,12,1,"ady endre utca 12, Békés"
185,9760,4,Békés,3,2,3,45,20088,bethlen utca,8,2,"bethlen utca 8, Békés"
186,9760,4,Békés,3,2,3,45,20088,décseri utca,20,2,"décseri utca 20, Békés"
187,9760,4,Békés,3,2,3,45,20088,legelő utca,66,2,"legelő utca 66, Békés"
189,9760,4,Békés,3,2,3,45,20088,rákóczi utca,3,1,"rákóczi utca 3, Békés"
190,9760,4,Békés,3,2,3,45,20088,vág utca,14,1,"vág utca 14, Békés"
192,15200,4,Békéscsaba,2,2,2,46,62050,bercsényi utca,25,2,"bercsényi utca 25, Békéscsaba"
193,15200,4,Békéscsaba,2,2,2,46,62050,csiki utca,23,2,"csiki utca 23, Békéscsaba"
194,15200,4,Békéscsaba,2,2,2,46,62050,erzsébet lakópark,64,2,"erzsébet lakópark 64, Békéscsaba"
195,15200,4,Békéscsaba,2,2,2,46,62050,fiumei út,80,2,"fiumei út 80, Békéscsaba"
196,15200,4,Békéscsaba,2,2,2,46,62050,franklin utca,jan.92,1,"franklin utca jan.92, Békéscsaba"
199,15200,4,Békéscsaba,2,2,2,46,62050,halász utca,8,0,"halász utca 8, Békéscsaba"
200,15200,4,Békéscsaba,2,2,2,46,62050,hínár utca,4,0,"hínár utca 4, Békéscsaba"
201,15200,4,Békéscsaba,2,2,2,46,62050,illésházi utca,6,0,"illésházi utca 6, Békéscsaba"
202,15200,4,Békéscsaba,2,2,2,46,62050,józsef utca,14,2,"józsef utca 14, Békéscsaba"
203,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,18,1,"kazinczy lakótelep 18, Békéscsaba"
204,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,19,1,"kazinczy lakótelep 19, Békéscsaba"
205,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,23,1,"kazinczy lakótelep 23, Békéscsaba"
208,15200,4,Békéscsaba,2,2,2,46,62050,orosházi út,jan.64,1,"orosházi út jan.64, Békéscsaba"
209,15200,4,Békéscsaba,2,2,2,46,62050,pásztor utca,51,1,"pásztor utca 51, Békéscsaba"
211,15200,4,Békéscsaba,2,2,2,46,62050,vadvirág utca,9,0,"vadvirág utca 9, Békéscsaba"
212,15200,4,Békéscsaba,2,2,2,46,62050,vandháti út,22,0,"vandháti út 22, Békéscsaba"
213,12788,9,Berettyóújfalu,3,2,3,94,15472,aradi utca,2,2,"aradi utca 2, Berettyóújfalu"
214,12788,9,Berettyóújfalu,3,2,3,94,15472,kőrös utca,2,1,"kőrös utca 2, Berettyóújfalu"
215,12788,9,Berettyóújfalu,3,2,3,94,15472,ölyvös utca,8,2,"ölyvös utca 8, Berettyóújfalu"
216,12788,9,Berettyóújfalu,3,2,3,94,15472,szillér utca,102,0,"szillér utca 102, Berettyóújfalu"
217,12788,9,Berettyóújfalu,3,2,3,94,15472,tárogató utca,10,0,"tárogató utca 10, Berettyóújfalu"
218,12788,9,Berettyóújfalu,3,2,3,94,15472,vadász utca,19,2,"vadász utca 19, Berettyóújfalu"
219,11305,16,Besenyszög,4,3,6,167,3339,aradi út,14/A,1,"aradi út 14/A, Besenyszög"
220,11305,16,Besenyszög,4,3,6,167,3339,aradi út,50,1,"aradi út 50, Besenyszög"
221,11305,16,Besenyszög,4,3,6,167,3339,attila út,33,2,"attila út 33, Besenyszög"
223,11305,16,Besenyszög,4,3,6,167,3339,bem körút,31,2,"bem körút 31, Besenyszög"
224,11305,16,Besenyszög,4,3,6,167,3339,chiovini ferenc út,8,2,"chiovini ferenc út 8, Besenyszög"
225,11305,16,Besenyszög,4,3,6,167,3339,chiovini ferenc út,30,1,"chiovini ferenc út 30, Besenyszög"
226,11305,16,Besenyszög,4,3,6,167,3339,csillag út,25,2,"csillag út 25, Besenyszög"
228,11305,16,Besenyszög,4,3,6,167,3339,kossuth út,48,1,"kossuth út 48, Besenyszög"
229,11305,16,Besenyszög,4,3,6,167,3339,magyar út,5,2,"magyar út 5, Besenyszög"
230,11305,16,Besenyszög,4,3,6,167,3339,nefelejcs út,18/A,1,"nefelejcs út 18/A, Besenyszög"
232,11305,16,Besenyszög,4,3,6,167,3339,pásztor út,22,1,"pásztor út 22, Besenyszög"
233,16346,7,Besnyő,4,3,7,78,1752,ady endre utca,17,1,"ady endre utca 17, Besnyő"
234,16346,7,Besnyő,4,3,7,78,1752,akácfa utca,6,0,"akácfa utca 6, Besnyő"
236,16346,7,Besnyő,4,3,7,78,1752,arany jános utca,5,1,"arany jános utca 5, Besnyő"
237,16346,7,Besnyő,4,3,7,78,1752,árpád utca,8,2,"árpád utca 8, Besnyő"
239,16346,7,Besnyő,4,3,7,78,1752,dózsa györgy utca,41,1,"dózsa györgy utca 41, Besnyő"
240,16346,7,Besnyő,4,3,7,78,1752,dózsa györgy utca,54,1,"dózsa györgy utca 54, Besnyő"
241,16346,7,Besnyő,4,3,7,78,1752,fő utca,63,0,"fő utca 63, Besnyő"
242,16346,7,Besnyő,4,3,7,78,1752,józsef attila utca,1,2,"józsef attila utca 1, Besnyő"
243,16346,7,Besnyő,4,3,7,78,1752,józsef attila utca,14,0,"józsef attila utca 14, Besnyő"
244,16346,7,Besnyő,4,3,7,78,1752,józsef attila utca,17,0,"józsef attila utca 17, Besnyő"
245,16346,7,Besnyő,4,3,7,78,1752,kossuth lajos utca,15,1,"kossuth lajos utca 15, Besnyő"
246,16346,7,Besnyő,4,3,7,78,1752,kossuth lajos utca,16,0,"kossuth lajos utca 16, Besnyő"
248,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,33,1,"kossuth lajos utca 33, Bezedek"
249,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,38,2,"kossuth lajos utca 38, Bezedek"
250,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,43,0,"kossuth lajos utca 43, Bezedek"
251,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,49,2,"kossuth lajos utca 49, Bezedek"
252,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,55,0,"kossuth lajos utca 55, Bezedek"
253,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,70,2,"kossuth lajos utca 70, Bezedek"
254,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,74,1,"kossuth lajos utca 74, Bezedek"
255,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,75,0,"kossuth lajos utca 75, Bezedek"
258,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,94,1,"kossuth lajos utca 94, Bezedek"
259,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,95,0,"kossuth lajos utca 95, Bezedek"
260,14119,2,Bezedek,4,3,8,27,232,kossuth lajos utca,98,0,"kossuth lajos utca 98, Bezedek"
261,8891,13,Biatorbágy,3,2,3,123,12484,fő utca,28,0,"fő utca 28, Biatorbágy"
263,8891,13,Biatorbágy,3,2,3,123,12484,rákóczi utca,16,2,"rákóczi utca 16, Biatorbágy"
264,8891,13,Biatorbágy,3,2,3,123,12484,táncsics mihály utca,2,1,"táncsics mihály utca 2, Biatorbágy"
266,10481,7,Bicske,3,2,3,77,11196,batthyány lajos utca,7,1,"batthyány lajos utca 7, Bicske"
267,10481,7,Bicske,3,2,3,77,11196,jakab utca,5,0,"jakab utca 5, Bicske"
269,25195,5,Bogács,4,3,6,60,1952,alkotmány utca,10,1,"alkotmány utca 10, Bogács"
273,25195,5,Bogács,4,3,6,60,1952,béke utca,24,1,"béke utca 24, Bogács"
274,25195,5,Bogács,4,3,6,60,1952,gárdonyi géza utca,5,1,"gárdonyi géza utca 5, Bogács"
275,25195,5,Bogács,4,3,6,60,1952,harkály utca,23,2,"harkály utca 23, Bogács"
276,25195,5,Bogács,4,3,6,60,1952,hórvölgye utca,12,1,"hórvölgye utca 12, Bogács"
277,25195,5,Bogács,4,3,6,60,1952,jókai utca,5,2,"jókai utca 5, Bogács"
278,25195,5,Bogács,4,3,6,60,1952,jókai utca,41,0,"jókai utca 41, Bogács"
279,25195,5,Bogács,4,3,6,60,1952,józsef attila utca,70,2,"józsef attila utca 70, Bogács"
281,25195,5,Bogács,4,3,6,60,1952,kossuth utca,40,2,"kossuth utca 40, Bogács"
282,25195,5,Bogács,4,3,6,60,1952,petőfi utca,4,1,"petőfi utca 4, Bogács"
283,32151,2,Bogád,4,3,7,28,1071,csankó hegyi utca,16,1,"csankó hegyi utca 16, Bogád"
284,32151,2,Bogád,4,3,7,28,1071,gólya utca,36,1,"gólya utca 36, Bogád"
286,32151,2,Bogád,4,3,7,28,1071,kossuth utca,27,1,"kossuth utca 27, Bogád"
288,32151,2,Bogád,4,3,7,28,1071,kossuth utca,46,0,"kossuth utca 46, Bogád"
289,32151,2,Bogád,4,3,7,28,1071,kossuth utca,77,0,"kossuth utca 77, Bogád"
290,32151,2,Bogád,4,3,7,28,1071,kossuth utca,92,1,"kossuth utca 92, Bogád"
291,32151,2,Bogád,4,3,7,28,1071,kossuth utca,122,0,"kossuth utca 122, Bogád"
293,32151,2,Bogád,4,3,7,28,1071,petőfi utca,15.aug,0,"petőfi utca 15.aug, Bogád"
294,32151,2,Bogád,4,3,7,28,1071,petőfi utca,16.febr,1,"petőfi utca 16.febr, Bogád"
295,32151,2,Bogád,4,3,7,28,1071,petőfi utca,16.márc,0,"petőfi utca 16.márc, Bogád"
296,32151,2,Bogád,4,3,7,28,1071,petőfi utca,19.márc,1,"petőfi utca 19.márc, Bogád"
297,3425,17,Bogyiszló,4,3,6,175,2195,béke utca,9,0,"béke utca 9, Bogyiszló"
300,3425,17,Bogyiszló,4,3,6,175,2195,honvéd utca,17,0,"honvéd utca 17, Bogyiszló"
301,3425,17,Bogyiszló,4,3,6,175,2195,honvéd utca,48,2,"honvéd utca 48, Bogyiszló"
302,3425,17,Bogyiszló,4,3,6,175,2195,honvéd utca,85,1,"honvéd utca 85, Bogyiszló"
303,3425,17,Bogyiszló,4,3,6,175,2195,józsef attila utca,21,0,"józsef attila utca 21, Bogyiszló"
304,3425,17,Bogyiszló,4,3,6,175,2195,józsef attila utca,24,1,"józsef attila utca 24, Bogyiszló"
305,3425,17,Bogyiszló,4,3,6,175,2195,kántorna utca,2,0,"kántorna utca 2, Bogyiszló"
306,3425,17,Bogyiszló,4,3,6,175,2195,kossuth utca,6,2,"kossuth utca 6, Bogyiszló"
307,3425,17,Bogyiszló,4,3,6,175,2195,kossuth utca,41,2,"kossuth utca 41, Bogyiszló"
309,3425,17,Bogyiszló,4,3,6,175,2195,küzdelem utca,17,1,"küzdelem utca 17, Bogyiszló"
312,6497,17,Bonyhád,3,2,3,170,13630,perczel mór utca,86,1,"perczel mór utca 86, Bonyhád"
313,6497,17,Bonyhád,3,2,3,170,13630,rákóczi ferenc utca,80,0,"rákóczi ferenc utca 80, Bonyhád"
