id,town_ksh_code,province_name,town_name,town_type1,town_type2,town_type3,district_ksh_code,town_population,street_name,house_number,target,address,lon,lat
102,3522,3,Baja,3,2,3,35,36267,v.körzet tanya,000050/7,2,"v.körzet tanya 000050/7, Baja",18.931942433272233,46.210697964914345
103,5944,8,Bakonyszentlászló,4,3,7,90,1825,ady endre utca,01.okt,0,"ady endre utca 01.okt, Bakonyszentlászló",17.80158000895827,47.383040011573144
104,5944,8,Bakonyszentlászló,4,3,7,90,1825,ady endre utca,22,1,"ady endre utca 22, Bakonyszentlászló",17.806619963518642,47.38058000681016
105,5944,8,Bakonyszentlászló,4,3,7,90,1825,béke utca,9/B,1,"béke utca 9/B, Bakonyszentlászló",17.806690036229185,47.38842001994533
106,5944,8,Bakonyszentlászló,4,3,7,90,1825,béke utca,18,0,"béke utca 18, Bakonyszentlászló",17.805689991361305,47.387640000035816
107,5944,8,Bakonyszentlászló,4,3,7,90,1825,dózsa györgy utca,31,0,"dózsa györgy utca 31, Bakonyszentlászló",17.795860030593275,47.39389000804809
108,5944,8,Bakonyszentlászló,4,3,7,90,1825,fenyves utca,18,0,"fenyves utca 18, Bakonyszentlászló",17.807209965683143,47.38977998373554
109,5944,8,Bakonyszentlászló,4,3,7,90,1825,fenyves utca,39,1,"fenyves utca 39, Bakonyszentlászló",17.807989985592656,47.38767998171397
110,5944,8,Bakonyszentlászló,4,3,7,90,1825,jókai utca,18,1,"jókai utca 18, Bakonyszentlászló",17.79708001660046,47.39033000422191
111,5944,8,Bakonyszentlászló,4,3,7,90,1825,kossuth utca,02.febr,0,"kossuth utca 02.febr, Bakonyszentlászló",17.796520021649314,47.391720017135015
112,5944,8,Bakonyszentlászló,4,3,7,90,1825,lászló király utca,86,1,"lászló király utca 86, Bakonyszentlászló",17.811989997426053,47.394369997733435
113,5944,8,Bakonyszentlászló,4,3,7,90,1825,lászló király utca,109,0,"lászló király utca 109, Bakonyszentlászló",17.817839979109266,47.39827998792671
116,5944,8,Bakonyszentlászló,4,3,7,90,1825,rózsa utca,30,0,"rózsa utca 30, Bakonyszentlászló",17.804070020934603,47.38731000450781
118,13657,12,Balassagyarmat,3,2,3,116,16397,felsőmalom utca,24,2,"felsőmalom utca 24, Balassagyarmat",19.305159998734098,48.08441000901368
119,13657,12,Balassagyarmat,3,2,3,116,16397,rákóczi fejedelem út,35,2,"rákóczi fejedelem út 35, Balassagyarmat",19.293230035944475,48.07822998989292
120,13657,12,Balassagyarmat,3,2,3,116,16397,szondi utca,6,1,"szondi utca 6, Balassagyarmat",19.290980000000047,48.07696000000004
122,13657,12,Balassagyarmat,3,2,3,116,16397,zichy utca,13,1,"zichy utca 13, Balassagyarmat",19.292299979968135,48.07929000727799
123,21175,19,Balatonfüred,3,2,3,185,12979,balassi bálint utca,35,1,"balassi bálint utca 35, Balatonfüred",17.890049991146697,46.96534002058456
124,21175,19,Balatonfüred,3,2,3,185,12979,köztársaság utca,10,2,"köztársaság utca 10, Balatonfüred",17.877210005129314,46.95530998378774
127,21175,19,Balatonfüred,3,2,3,185,12979,pálóczi horváth ádám utca,30/A,1,"pálóczi horváth ádám utca 30/A, Balatonfüred",17.885519991575507,46.96393999129717
128,33862,14,Balatonlelle,3,2,3,142,5217,aradi utca,14,0,"aradi utca 14, Balatonlelle",17.714699989983217,46.77786999697699
129,33862,14,Balatonlelle,3,2,3,142,5217,aradi utca,29,2,"aradi utca 29, Balatonlelle",17.715689976567262,46.77706998622841
130,33862,14,Balatonlelle,3,2,3,142,5217,arany jános utca,47,2,"arany jános utca 47, Balatonlelle",17.693099993138162,46.78216999712501
133,33862,14,Balatonlelle,3,2,3,142,5217,jókai utca,12,0,"jókai utca 12, Balatonlelle",17.713289986231047,46.77238999249991
134,33862,14,Balatonlelle,3,2,3,142,5217,kossuth lajos utca,8,1,"kossuth lajos utca 8, Balatonlelle",17.697090030506757,46.78492999020261
135,33862,14,Balatonlelle,3,2,3,142,5217,május 1. utca,30,2,"május 1. utca 30, Balatonlelle",17.70708997627119,46.777420014505
136,33862,14,Balatonlelle,3,2,3,142,5217,május 1. utca,35,0,"május 1. utca 35, Balatonlelle",17.708030006712306,46.77721000592095
137,33862,14,Balatonlelle,3,2,3,142,5217,petőfi utca,48,1,"petőfi utca 48, Balatonlelle",17.692489958225053,46.77826000693173
138,33862,14,Balatonlelle,3,2,3,142,5217,rákóczi út,aug.54,1,"rákóczi út aug.54, Balatonlelle",17.718109999652086,46.79354000687297
140,33862,14,Balatonlelle,3,2,3,142,5217,szt.lászló utca,27,1,"szt.lászló utca 27, Balatonlelle",17.70068997410158,46.77867998219034
141,33862,14,Balatonlelle,3,2,3,142,5217,tabán köz,34,0,"tabán köz 34, Balatonlelle",17.70274001998024,46.78205001018105
142,16601,14,Balatonszabadi,4,3,6,146,2971,ady endre utca,8,0,"ady endre utca 8, Balatonszabadi",18.13676997001133,46.89433000371528
143,16601,14,Balatonszabadi,4,3,6,146,2971,ady endre utca,12,1,"ady endre utca 12, Balatonszabadi",18.1373199904977,46.89372001071169
144,16601,14,Balatonszabadi,4,3,6,146,2971,gamásza puszta,3,0,"gamásza puszta 3, Balatonszabadi",18.143210000000067,46.887060000000076
145,16601,14,Balatonszabadi,4,3,6,146,2971,kinizsi pál utca,20,0,"kinizsi pál utca 20, Balatonszabadi",18.11729998240122,46.904629979703856
147,16601,14,Balatonszabadi,4,3,6,146,2971,kossuth lajos utca,103,0,"kossuth lajos utca 103, Balatonszabadi",18.15517000768108,46.88233001012463
148,16601,14,Balatonszabadi,4,3,6,146,2971,kossuth lajos utca,129,1,"kossuth lajos utca 129, Balatonszabadi",18.158160000181823,46.881230011061405
149,16601,14,Balatonszabadi,4,3,6,146,2971,mátyás király utca,10,1,"mátyás király utca 10, Balatonszabadi",18.115670037509716,46.90634001368019
150,16601,14,Balatonszabadi,4,3,6,146,2971,nefelejcs utca,9,0,"nefelejcs utca 9, Balatonszabadi",18.113099978358065,46.90086998366792
151,16601,14,Balatonszabadi,4,3,6,146,2971,petőfi sándor utca,2/B,1,"petőfi sándor utca 2/B, Balatonszabadi",18.132420013720377,46.89349998575332
152,16601,14,Balatonszabadi,4,3,6,146,2971,rákóczi ferenc utca,9/A,0,"rákóczi ferenc utca 9/A, Balatonszabadi",18.135640005644234,46.89137001842789
153,16601,14,Balatonszabadi,4,3,6,146,2971,szabadság utca,33/F,1,"szabadság utca 33/F, Balatonszabadi",18.126710009820158,46.90127998446175
155,16601,14,Balatonszabadi,4,3,6,146,2971,vak bottyán utca,1,1,"vak bottyán utca 1, Balatonszabadi",18.11450000764546,46.904730017718265
156,2918,9,Balmazújváros,3,2,3,93,17573,batthyány utca,116,0,"batthyány utca 116, Balmazújváros",21.35529003169168,47.60600999351871
157,2918,9,Balmazújváros,3,2,3,93,17573,esze tamás utca,19,1,"esze tamás utca 19, Balmazújváros",21.33961997988615,47.6234200026949
158,2918,9,Balmazújváros,3,2,3,93,17573,kastélykert utca,10,1,"kastélykert utca 10, Balmazújváros",21.3440300344229,47.61311998479678
159,2918,9,Balmazújváros,3,2,3,93,17573,kiskút utca,24,1,"kiskút utca 24, Balmazújváros",21.332120020562826,47.60592998825291
161,32799,14,Barcs,3,2,3,140,11420,ady endre utca,15,2,"ady endre utca 15, Barcs",17.489689978533278,45.96266000809271
162,32799,14,Barcs,3,2,3,140,11420,barátság utca,28,0,"barátság utca 28, Barcs",17.455760034479084,45.961350000445435
163,32799,14,Barcs,3,2,3,140,11420,barátság utca,48,1,"barátság utca 48, Barcs",17.45564000562561,45.96322000304386
164,32799,14,Barcs,3,2,3,140,11420,béke utca,48,0,"béke utca 48, Barcs",17.459449999714025,45.96377999799503
165,33534,12,Bátonyterenye,3,2,3,117,12841,attila út,14,1,"attila út 14, Bátonyterenye",19.82372999183076,47.96996999903115
166,33534,12,Bátonyterenye,3,2,3,117,12841,bányász út,13,0,"bányász út 13, Bátonyterenye",19.831570004965897,47.99293000157593
167,33534,12,Bátonyterenye,3,2,3,117,12841,csokonai út,34,2,"csokonai út 34, Bátonyterenye",19.816419966433386,48.00660000555524
168,33534,12,Bátonyterenye,3,2,3,117,12841,jókai út,10,0,"jókai út 10, Bátonyterenye",19.830880006696503,47.98851001448395
169,33534,12,Bátonyterenye,3,2,3,117,12841,várhegy út,29,2,"várhegy út 29, Bátonyterenye",19.836659999488234,48.01395998709555
170,18698,20,Bázakerettye,4,3,8,195,842,béke út,5,2,"béke út 5, Bázakerettye",16.727139966900978,46.52590001305839
171,18698,20,Bázakerettye,4,3,8,195,842,béke út,7,0,"béke út 7, Bázakerettye",16.72689999301309,46.52590001305839
172,18698,20,Bázakerettye,4,3,8,195,842,dózsa györgy út,23,1,"dózsa györgy út 23, Bázakerettye",16.75417001208018,46.5280599875972
173,18698,20,Bázakerettye,4,3,8,195,842,fő út,18,2,"fő út 18, Bázakerettye",16.728500014510246,46.52242001449801
174,18698,20,Bázakerettye,4,3,8,195,842,fő út,60,1,"fő út 60, Bázakerettye",16.7273999735375,46.516949984485734
179,18698,20,Bázakerettye,4,3,8,195,842,olajmunkás köz,4,2,"olajmunkás köz 4, Bázakerettye",16.7319899875354,46.52239998174943
180,18698,20,Bázakerettye,4,3,8,195,842,olajmunkás köz,9,2,"olajmunkás köz 9, Bázakerettye",16.73244001191688,46.52301999112731
181,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,11,2,"rákóczi út 11, Bázakerettye",16.72923996892257,46.53447998060588
182,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,14,2,"rákóczi út 14, Bázakerettye",16.72900996949943,46.53488000693491
183,18698,20,Bázakerettye,4,3,8,195,842,rákóczi út,15,2,"rákóczi út 15, Bázakerettye",16.728720039468584,46.534910014148295
184,9760,4,Békés,3,2,3,45,20088,ady endre utca,12,1,"ady endre utca 12, Békés",21.12555002846082,46.770059991055206
185,9760,4,Békés,3,2,3,45,20088,bethlen utca,8,2,"bethlen utca 8, Békés",21.123460000904032,46.774129991780086
186,9760,4,Békés,3,2,3,45,20088,décseri utca,20,2,"décseri utca 20, Békés",21.13212001562684,46.78484001047204
187,9760,4,Békés,3,2,3,45,20088,legelő utca,66,2,"legelő utca 66, Békés",21.11141998372574,46.77540999221401
189,9760,4,Békés,3,2,3,45,20088,rákóczi utca,3,1,"rákóczi utca 3, Békés",21.13466995821085,46.77425002063356
190,9760,4,Békés,3,2,3,45,20088,vág utca,14,1,"vág utca 14, Békés",21.14518002660256,46.76879000699557
192,15200,4,Békéscsaba,2,2,2,46,62050,bercsényi utca,25,2,"bercsényi utca 25, Békéscsaba",21.060490031289163,46.65943001707058
193,15200,4,Békéscsaba,2,2,2,46,62050,csiki utca,23,2,"csiki utca 23, Békéscsaba",21.106290007525246,46.68909998456439
194,15200,4,Békéscsaba,2,2,2,46,62050,erzsébet lakópark,64,2,"erzsébet lakópark 64, Békéscsaba",21.07434003663917,46.67089000654914
195,15200,4,Békéscsaba,2,2,2,46,62050,fiumei út,80,2,"fiumei út 80, Békéscsaba",21.082969960329564,46.655469986915335
196,15200,4,Békéscsaba,2,2,2,46,62050,franklin utca,jan.92,1,"franklin utca jan.92, Békéscsaba",21.052720007045536,46.67412001484732
199,15200,4,Békéscsaba,2,2,2,46,62050,halász utca,8,0,"halász utca 8, Békéscsaba",21.091710022227716,46.69034000332019
200,15200,4,Békéscsaba,2,2,2,46,62050,hínár utca,4,0,"hínár utca 4, Békéscsaba",21.13271001779134,46.67297999219642
201,15200,4,Békéscsaba,2,2,2,46,62050,illésházi utca,6,0,"illésházi utca 6, Békéscsaba",21.087340033188156,46.678229997250355
202,15200,4,Békéscsaba,2,2,2,46,62050,józsef utca,14,2,"józsef utca 14, Békéscsaba",21.082899971438053,46.69050998831656
203,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,18,1,"kazinczy lakótelep 18, Békéscsaba",21.081379997116215,46.67415999652545
204,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,19,1,"kazinczy lakótelep 19, Békéscsaba",21.08102996883963,46.67404000958149
205,15200,4,Békéscsaba,2,2,2,46,62050,kazinczy lakótelep,23,1,"kazinczy lakótelep 23, Békéscsaba",21.080970038231925,46.675350017228794
208,15200,4,Békéscsaba,2,2,2,46,62050,orosházi út,jan.64,1,"orosházi út jan.64, Békéscsaba",21.071780035771326,46.66055000697287
209,15200,4,Békéscsaba,2,2,2,46,62050,pásztor utca,51,1,"pásztor utca 51, Békéscsaba",21.119819991812022,46.66703001440831
211,15200,4,Békéscsaba,2,2,2,46,62050,vadvirág utca,9,0,"vadvirág utca 9, Békéscsaba",21.059039962039805,46.6811399844853
212,15200,4,Békéscsaba,2,2,2,46,62050,vandháti út,22,0,"vandháti út 22, Békéscsaba",21.110020038257375,46.68878000541068
213,12788,9,Berettyóújfalu,3,2,3,94,15472,aradi utca,2,2,"aradi utca 2, Berettyóújfalu",21.540590022476664,47.19577999654962
214,12788,9,Berettyóújfalu,3,2,3,94,15472,kőrös utca,2,1,"kőrös utca 2, Berettyóújfalu",21.54021996145147,47.2129400154636
215,12788,9,Berettyóújfalu,3,2,3,94,15472,ölyvös utca,8,2,"ölyvös utca 8, Berettyóújfalu",21.530759977889602,47.197480014151665
216,12788,9,Berettyóújfalu,3,2,3,94,15472,szillér utca,102,0,"szillér utca 102, Berettyóújfalu",21.522879983076308,47.222219997654776
217,12788,9,Berettyóújfalu,3,2,3,94,15472,tárogató utca,10,0,"tárogató utca 10, Berettyóújfalu",21.545629977037038,47.23016998135958
218,12788,9,Berettyóújfalu,3,2,3,94,15472,vadász utca,19,2,"vadász utca 19, Berettyóújfalu",21.528499965336408,47.20063001718401
219,11305,16,Besenyszög,4,3,6,167,3339,aradi út,14/A,1,"aradi út 14/A, Besenyszög",20.252729961766278,47.29080999143926
220,11305,16,Besenyszög,4,3,6,167,3339,aradi út,50,1,"aradi út 50, Besenyszög",20.248010028269135,47.294330013587285
221,11305,16,Besenyszög,4,3,6,167,3339,attila út,33,2,"attila út 33, Besenyszög",20.26561001328082,47.30237999339698
223,11305,16,Besenyszög,4,3,6,167,3339,bem körút,31,2,"bem körút 31, Besenyszög",20.26331001904947,47.2988999948366
224,11305,16,Besenyszög,4,3,6,167,3339,chiovini ferenc út,8,2,"chiovini ferenc út 8, Besenyszög",20.26030996826492,47.2945699874752
225,11305,16,Besenyszög,4,3,6,167,3339,chiovini ferenc út,30,1,"chiovini ferenc út 30, Besenyszög",20.26361000736412,47.29407000695079
226,11305,16,Besenyszög,4,3,6,167,3339,csillag út,25,2,"csillag út 25, Besenyszög",20.259110015006314,47.287950002256764
228,11305,16,Besenyszög,4,3,6,167,3339,kossuth út,48,1,"kossuth út 48, Besenyszög",20.25268998008812,47.294410018853114
229,11305,16,Besenyszög,4,3,6,167,3339,magyar út,5,2,"magyar út 5, Besenyszög",20.25550998759246,47.28727002036166
230,11305,16,Besenyszög,4,3,6,167,3339,nefelejcs út,18/A,1,"nefelejcs út 18/A, Besenyszög",20.256039975330253,47.28750001978477
232,11305,16,Besenyszög,4,3,6,167,3339,pásztor út,22,1,"pásztor út 22, Besenyszög",20.261099962639207,47.28777000088607
233,16346,7,Besnyő,4,3,7,78,1752,ady endre utca,17,1,"ady endre utca 17, Besnyő",18.804010031187914,47.192440017681776
234,16346,7,Besnyő,4,3,7,78,1752,akácfa utca,6,0,"akácfa utca 6, Besnyő",18.794520000000034,47.19066000000004
236,16346,7,Besnyő,4,3,7,78,1752,arany jános utca,5,1,"arany jános utca 5, Besnyő",18.78104998673362,47.18839000779596
237,16346,7,Besnyő,4,3,7,78,1752,árpád utca,8,2,"árpád utca 8, Besnyő",18.794119972174116,47.18414998016513
239,16346,7,Besnyő,4,3,7,78,1752,dózsa györgy utca,41,1,"dózsa györgy utca 41, Besnyő",18.803959991225952,47.18765998593889
240,16346,7,Besnyő,4,3,7,78,1752,dózsa györgy utca,54,1,"dózsa györgy utca 54, Besnyő",18.804649989495346,47.18727001789364
241,16346,7,Besnyő,4,3,7,78,1752,fő utca,63,0,"fő utca 63, Besnyő",18.785700015158255,47.19134999308332
